vote_2020,gender,race_ethnicity,household_income,state,age,vote_trump
Donald Trump,female,White,"Less than $49,999",nebraska,56,1
Donald Trump,female,White,"Less than $49,999",michigan,51,1
Donald Trump,female,Asian or Pacific Islander,"$50,000 to $99,999",utah,24,1
Donald Trump,female,White,"$100,000 to $149,999",florida,68,1
Joe Biden,female,White,"$50,000 to $99,999",arizona,62,0
Donald Trump,female,White,"Less than $49,999",tennessee,73,1
Joe Biden,male,White,"Less than $49,999",massachusetts,55,0
Donald Trump,female,White,"$100,000 to $149,999",illinois,58,1
Joe Biden,female,White,"Less than $49,999",california,66,0
Joe Biden,female,White,"Less than $49,999",new york,74,0
Donald Trump,male,White,"Less than $49,999",colorado,33,1
Joe Biden,female,Asian or Pacific Islander,"$150,000 to $199,999",hawaii,37,0
Joe Biden,female,White,"$150,000 to $199,999",california,63,0
Donald Trump,male,White,"$50,000 to $99,999",california,41,1
Donald Trump,female,White,"Less than $49,999",new york,54,1
Joe Biden,male,"Black, or African American","Less than $49,999",district of columbia,41,0
Joe Biden,female,White,"$50,000 to $99,999",florida,73,0
Donald Trump,male,White,"$150,000 to $199,999",texas,44,1
Joe Biden,female,White,"Less than $49,999",indiana,28,0
Donald Trump,male,White,"$200,000 and above",new york,44,1
Donald Trump,male,White,"Less than $49,999",georgia,40,1
Joe Biden,male,"Black, or African American","$50,000 to $99,999",new york,23,0
Joe Biden,female,White,"Less than $49,999",ohio,32,0
Joe Biden,male,White,"$200,000 and above",colorado,39,0
Donald Trump,female,White,"Less than $49,999",illinois,28,1
Joe Biden,male,White,"Less than $49,999",new jersey,32,0
Joe Biden,male,White,"Less than $49,999",illinois,57,0
Donald Trump,male,"Black, or African American","$50,000 to $99,999",minnesota,32,1
Donald Trump,female,White,"Less than $49,999",missouri,54,1
Donald Trump,male,Asian or Pacific Islander,"Less than $49,999",washington,19,1
Joe Biden,female,Some other race,"$50,000 to $99,999",california,42,0
Joe Biden,female,White,"$100,000 to $149,999",california,18,0
